GEOID,sTract,Pct_ViolentCrime
14000US17031440600,440600,0.0070779
14000US17031440700,440700,0.0069708
14000US17031440800,440800,0.008519
14000US17031440900,440900,0.0096477
14000US17031450300,450300,0.0087812
14000US17031460100,460100,0.0211207
14000US17031460200,460200,0.0182149
14000US17031460301,460301,0.017551
14000US17031460302,460302,0.014227
14000US17031460400,460400,0.0146927
14000US17031460500,460500,0.0107256
14000US17031460600,460600,0.0214031
14000US17031460700,460700,0.0235614
14000US17031461000,461000,0.022314
14000US17031470100,470100,0.0081572
14000US17031480100,480100,0.0042105
14000US17031480200,480200,0.0079114
14000US17031480300,480300,0.0170068
14000US17031480400,480400,0.0056567
14000US17031480500,480500,0.0075694
14000US17031490300,490300,0.0119183
14000US17031490400,490400,0.0091837
14000US17031490500,490500,0.0078813
14000US17031490600,490600,0.0175439
14000US17031490700,490700,0.0152536
14000US17031490800,490800,0.0090006
14000US17031490901,490901,0.0158674
14000US17031490902,490902,0.0121254
14000US17031491000,491000,0.0262371
14000US17031491100,491100,0.0065524
14000US17031491200,491200,0.0126697
14000US17031491300,491300,0.0206349
14000US17031491400,491400,0.0216126
14000US17031500100,500100,0.0044843
14000US17031500200,500200,0.0190404
14000US17031500300,500300,0.0061266
14000US17031510100,510100,0.005067
14000US17031510200,510200,0.0072106
14000US17031510300,510300,0.0108155
14000US17031520100,520100,0.0081169
14000US17031520200,520200,0.0130112
14000US17031520300,520300,0.0044552
14000US17031520400,520400,0.0026698
14000US17031520500,520500,0.0013908
14000US17031520600,520600,0.0039663
14000US17031530100,530100,0.0143187
14000US17031530200,530200,0.0217827
14000US17031530300,530300,0.0097173
14000US17031530400,530400,0.0069182
14000US17031530501,530501,0.0202582
14000US17031530502,530502,0.0111193
14000US17031530503,530503,0.0126999
14000US17031530600,530600,0.0170819
14000US17031540101,540101,0.0385621
14000US17031540102,540102,0.0193384
14000US17031550100,550100,0.0048101
14000US17031550200,550200,0.0029895
14000US17031560100,560100,0.0094937
14000US17031560200,560200,0.0060241
14000US17031560300,560300,0.0023857
14000US17031560400,560400,0
14000US17031560700,560700,0.0028249
14000US17031560800,560800,0.0011351
14000US17031560900,560900,0.001444
14000US17031561000,561000,0.001997
14000US17031561100,561100,0.0013453
14000US17031570100,570100,0.0055066
14000US17031570200,570200,0.0024793
14000US17031570300,570300,0.002636
14000US17031570400,570400,0.007085
14000US17031570500,570500,0.0054267
14000US17031580100,580100,0.0045393
14000US17031580200,580200,0.005102
14000US17031580300,580300,0.0059299
14000US17031580400,580400,0.0072589
14000US17031580501,580501,0.0065999
14000US17031580502,580502,0.0033711
14000US17031580600,580600,0.0047076
14000US17031580700,580700,0.0043345
14000US17031580800,580800,0.0044776
14000US17031590500,590500,0.0048883
14000US17031590600,590600,0.002845
14000US17031590700,590700,0.006917
14000US17031600400,600400,0.0019954
14000US17031600600,600600,0.0019455
14000US17031600700,600700,0.0041005
14000US17031600900,600900,0.0053818
14000US17031610300,610300,0.0117614
14000US17031610400,610400,0.008702
14000US17031610800,610800,0.0048733
14000US17031611000,611000,0.0366089
14000US17031611100,611100,0.0116959
14000US17031611200,611200,0.0167183
14000US17031611300,611300,0.0135135
14000US17031611400,611400,0.0081433
14000US17031611500,611500,0.0066363
14000US17031611600,611600,0.0127175
14000US17031611700,611700,0.02298
14000US17031611800,611800,0.0193629
14000US17031611900,611900,0.0270907
14000US17031612000,612000,0.0132701
14000US17031612100,612100,0.0149007
14000US17031620100,620100,0.0019563
14000US17031620200,620200,0.0037014
14000US17031620300,620300,0.0020454
14000US17031620400,620400,0.0035568
14000US17031630100,630100,0.0063158
14000US17031630200,630200,0.0037547
14000US17031630300,630300,0.0068833
14000US17031630400,630400,0.0039823
14000US17031630500,630500,0.0054187
14000US17031630800,630800,0.0058115
14000US17031630900,630900,0.0041819
14000US17031640100,640100,0.0027223
14000US17031640300,640300,0.0034914
14000US17031640400,640400,0.0008097
14000US17031640500,640500,0.0013942
14000US17031640600,640600,0.0019286
14000US17031640700,640700,0.0027978
14000US17031640800,640800,0.004886
14000US17031650100,650100,0.0013889
14000US17031650200,650200,0.0021956
14000US17031650301,650301,0.0041436
14000US17031650302,650302,0.0029347
14000US17031650400,650400,0.0029525
14000US17031650500,650500,0.0031366
14000US17031660301,660301,0.0204499
14000US17031660302,660302,0.0052969
14000US17031660400,660400,0.0035999
14000US17031660500,660500,0.0040223
14000US17031660600,660600,0.018963
